receiver_sn,record_time,temperature
UP1,2024-03-22T02:13:03,-8.56
UP1,2024-03-22T02:23:09,-8.56
UP1,2024-03-22T02:33:16,-8.63
UP1,2024-03-22T02:43:23,-8.69
UP1,2024-03-22T02:53:33,-8.75
UP1,2024-03-22T03:03:44,-8.75
UP1,2024-03-22T03:13:52,-8.75
UP1,2024-03-22T03:24:01,-8.81
UP1,2024-03-22T03:34:11,-8.81
UP1,2024-03-22T03:44:22,-8.88
UP1,2024-03-22T03:54:30,-8.88
UP1,2024-03-22T04:04:39,-8.94
UP1,2024-03-22T04:14:46,-8.94
UP1,2024-03-22T04:24:54,-8.94
UP1,2024-03-22T04:35:03,-9
UP1,2024-03-22T04:45:03,-9
UP1,2024-03-22T04:55:10,-9.06
UP1,2024-03-22T05:05:23,-9.06
UP1,2024-03-22T05:15:29,-9.06
UP1,2024-03-22T05:25:35,-9.13
UP1,2024-03-22T05:35:42,-9.13
UP1,2024-03-22T05:45:53,-9.13
UP1,2024-03-22T05:55:53,-9.19
UP1,2024-03-22T06:06:04,-9.19
UP1,2024-03-22T06:16:12,-9.25
UP1,2024-03-22T06:26:20,-9.25
UP1,2024-03-22T06:36:28,-9.25
UP1,2024-03-22T06:46:30,-9.31
UP1,2024-03-22T06:56:42,-9.31
UP1,2024-03-22T07:06:51,-9.31
UP1,2024-03-22T07:16:58,-9.31
UP1,2024-03-22T07:27:08,-9.31
UP1,2024-03-22T07:37:16,-9.31
UP1,2024-03-22T07:47:17,-9.38
UP1,2024-03-22T07:57:18,-9.38
UP1,2024-03-22T08:07:30,-9.38
UP1,2024-03-22T08:17:35,-9.38
UP1,2024-03-22T08:27:44,-9.31
UP1,2024-03-22T08:37:49,-9.31
UP1,2024-03-22T08:47:58,-9.31
UP1,2024-03-22T08:58:05,-9.31
UP1,2024-03-22T09:08:13,-9.31
UP1,2024-03-22T09:18:13,-9.25
UP1,2024-03-22T09:28:17,-9.19
UP1,2024-03-22T09:38:21,-9.19
UP1,2024-03-22T09:48:28,-9.13
UP1,2024-03-22T09:58:40,-9.13
UP1,2024-03-22T10:08:48,-9.13
UP1,2024-03-22T10:18:53,-9.06
UP1,2024-03-22T10:28:56,-9
UP1,2024-03-22T10:39:00,-9
UP1,2024-03-22T10:49:09,-8.94
