event_time;waveform_rms;waveform_peak_to_peak;waveform_abs_energy;waveform_max_abs;waveform_mean_abs;waveform_skewness;waveform_kurtosis;waveform_std;zero_crossing_rate;spectral_centroid;dominant_freq;spectral_spread;spectral_rolloff;spectral_flatness;spec_band_1_5_ratio;spec_band_5_10_ratio;spec_band_10_15_ratio;spec_band_15_20_ratio;duration_5_percent;duration_2_percent;envelope_rise_time;peak_position_normalized;envelope_skewness;envelope_kurtosis;slowness_min_during_signal;slowness_mean_during_signal;slowness_std_during_signal;slowness_change_during_signal;back_azimuth_at_min_slowness;incidence_angle_at_min_slowness;class_name
2024-03-19T14:32:42.000000Z;35.24456184;348.0165005;125654.5564;174.0901667;20.93893624;0.265059567;6.878344551;35.24456184;23.49608399;11.80575361;9.331778037;6.724966923;16.49725046;1.39E-05;0.017960608;0.731012546;0.189813375;0.056285827;5.613;5.728;2.595;0.467922013;2.290272133;4.56271442;0.125;0.481814618;0.130853801;0.485327781;143.1301024;48.59037789;surface_waves
2024-03-19T14:32:47.000000Z;36.73049647;468.6246833;137486.7594;243.9595346;22.91064145;-0.336477111;10.79579491;36.73049647;21.99633394;13.48848396;15.16413931;7.293556674;17.83036161;1.27E-05;0.044357358;0.201631589;0.508344969;0.231753907;5.668;5.858;2.5;0.46992168;3.194767795;12.38734498;0.445112345;0.535431014;0.07881799;0.195200078;308.1572266;80.42602878;short_signal
2024-03-19T14:33:49.600000Z;39.75045556;463.9848729;147059.0933;253.3372625;24.50576459;-0.107888291;9.168078957;39.75045556;20.82986169;11.97804068;6.665555741;8.551523022;20.16330612;1.45E-05;0.037856175;0.785350033;0.118537256;0.028017695;5.611;5.828;2.592;0.480919847;2.726363572;9.593285368;0.13462912;0.485935375;0.141187159;0.505683304;201.8014095;53.87908195;surface_waves
2024-03-19T14:34:57.600000Z;56.22267689;486.5973236;222230.1746;276.9051555;37.03219041;-0.418418226;3.870879999;56.22267689;22.99616731;12.41731176;7.165472421;6.41389176;18.49691718;8.58E-06;0.016355928;0.601947966;0.165513102;0.202697385;5.785;5.856;3.283;0.645392435;1.588358188;2.614567446;0.176776695;0.437667541;0.075986325;0.319459136;188.1301024;81.89038554;noise
2024-03-19T14:36:01.800000Z;77.26954015;1206.683558;251583.0372;668.2869428;41.92351895;-0.096911251;18.13296784;77.26954015;22.66288952;11.3847696;7.165472421;6.471780902;16.66388935;1.41E-05;0.016076912;0.808414938;0.124100893;0.042776762;5.151;5.663;0.062;0.117147142;3.44312696;15.54198001;0.158113883;0.394434006;0.116284089;0.452213898;71.56505118;71.56505118;icequake
2024-03-19T14:37:35.400000Z;29.38063231;274.3962686;116744.9514;144.2990242;19.45424953;-0.076466738;4.112108833;29.38063231;21.66305616;11.91185634;4.665889018;10.05570234;19.99666722;2.53E-05;0.47687088;0.293170034;0.140917599;0.060679781;5.786;5.851;1.105;0.226628895;1.554046607;1.792404553;0.055901699;0.277242234;0.144086121;0.464314602;116.5650512;19.59748371;surface_waves
2024-03-19T14:37:55.200000Z;21.56774305;132.9684108;101493.9291;74.39094311;16.91283605;-0.048677472;0.093901895;21.56774305;16.99716714;11.49164285;4.165972338;9.749869298;18.83019497;2.68E-05;0.713671315;0.149371351;0.074897763;0.049828323;5.762;5.923;1.968;0.67922013;0.319888118;-0.478386039;0.301707451;0.424917135;0.055285142;0.198917159;160.6129342;68.47562092;noise
2024-03-19T14:38:17.600000Z;135.5421836;1160.245449;461384.2885;616.5795276;76.88456732;0.311160506;5.114544779;135.5421836;21.66305616;10.22481208;8.331944676;7.114111778;15.4974171;5.25E-06;0.169084848;0.748261572;0.063054992;0.014490804;4.264;5.69;1.929;0.657890352;1.626193539;2.15706784;0.226384628;0.447070496;0.12090906;0.413927795;6.340191746;81.89038554;icequake
2024-03-19T14:40:15.800000Z;42.30874175;368.1044689;177167.1432;203.1457112;29.52293671;-0.296826516;3.104966945;42.30874175;17.9970005;9.929050248;4.332611231;9.685344746;16.66388935;2.31E-05;0.603417503;0.334084553;0.0273664;0.025442729;5.673;5.818;2.058;0.394767539;1.718845091;3.312652837;0.025;0.365861395;0.173003349;0.504740503;90;8.626926559;surface_waves
2024-03-19T14:40:55.600000Z;22.70163953;145.7090621;104883.4859;76.45413018;17.47766803;-0.227812128;0.255200729;22.70163953;20.6632228;12.58406655;3.832694551;10.62983827;20.6632228;3.86E-05;0.632890193;0.115753246;0.121619093;0.079543658;5.882;5.947;2.686;0.555907349;0.528266735;0.085120066;0.1;0.256512634;0.110397429;0.380884602;180;36.86989765;noise
2024-03-19T14:41:07.000000Z;19.0165276;116.4825192;88154.43214;58.59573955;14.68995703;-0.062794615;0.227214149;19.0165276;22.16297284;11.82457485;3.33277787;10.26821915;19.83002833;3.82E-05;0.487990047;0.333038443;0.100809497;0.05335587;5.828;5.932;2.177;0.52557907;0.922084083;0.814912927;0.182002747;0.385426939;0.121089288;0.347737755;105.9453959;81.89038554;noise
2024-03-19T14:41:48.600000Z;41.73405867;355.7738352;157703.936;188.8443253;26.2796094;-0.386302229;4.894724628;41.73405867;20.6632228;10.91775422;5.332444593;8.314274045;16.66388935;1.55E-05;0.239386041;0.514731231;0.186217571;0.055403729;5.725;5.811;2.437;0.452591235;2.088106657;3.810778217;0.285043856;0.505399519;0.088123973;0.339956144;142.1250163;81.89038554;icequake
2024-03-19T14:42:26.400000Z;20.77712414;131.5141906;98330.58507;67.88066783;16.38569989;-0.000579205;0.153271013;20.77712414;18.49691718;12.70300462;4.332611231;9.590618346;19.49675054;3.48E-05;0.547256263;0.130262716;0.100477477;0.197909549;5.871;6;0.37;0.796033994;0.735184763;0.751617423;0.213600094;0.362804666;0.075347632;0.260741555;110.5560452;81.89038554;noise
2024-03-19T14:42:29.600000Z;19.20897844;123.2853996;88549.81144;61.9939753;14.7558426;0.191546247;0.315095206;19.20897844;23.32944509;12.35974417;3.832694551;9.523153505;19.83002833;3.76E-05;0.523943602;0.157207828;0.099739268;0.192451076;5.871;5.923;1.416;0.262789535;0.828692982;1.026916921;0.1;0.321576397;0.099310206;0.396235831;180;36.86989765;noise
2024-03-19T14:44:18.800000Z;79.07853824;966.3357908;239467.4754;488.0120805;39.90459513;0.539345471;14.36953813;79.07853824;21.32977837;11.62422337;9.331778037;7.923400396;18.33027829;1.15E-05;0.043040228;0.827414442;0.054313859;0.048580159;5.5;5.702;2.69;0.502416264;3.120801635;9.881595883;0.226384628;0.464386229;0.086472595;0.369958394;6.340191746;81.89038554;short_signal
2024-03-19T14:44:32.000000Z;21.21044194;197.7422119;99567.30219;111.43242;16.59178507;0.056967008;1.249140084;21.21044194;22.16297284;13.80472082;19.33011165;9.163860372;20.82986169;2.92E-05;0.30836017;0.134028445;0.134507645;0.358562923;5.779;5.889;4.107;0.712047992;1.747658379;8.210057642;0.212132034;0.401388582;0.118983694;0.460549168;315;81.89038554;noise
2024-03-19T14:48:00.800000Z;21.06777538;116.7634316;100162.7362;59.51111306;16.69100753;0.020535286;-0.173606594;21.06777538;20.99650058;12.75379108;3.999333444;10.5470433;21.16313948;3.38E-05;0.568777778;0.175541872;0.105440531;0.051401497;5.849;5.934;1.688;0.538910182;0.342800729;0.033843051;0.257390754;0.425232781;0.06219704;0.252511198;150.9453959;81.89038554;noise
2024-03-19T14:48:20.800000Z;284.5020503;3795.007793;681925.5655;1987.986327;113.6353217;-0.5794969;19.59935138;284.5020503;24.66255624;10.61929072;6.16563906;8.219762822;16.16397267;6.26E-06;0.074604371;0.83101522;0.05135347;0.037801572;2.162;5.454;0.419;0.564905849;3.381652098;11.4351709;0.195256242;0.519227432;0.080234351;0.511850539;309.8055711;81.89038554;short_signal
2024-03-19T14:48:27.600000Z;25.10008588;160.1290205;117964.0358;83.5842394;19.6573964;-0.011632539;0.044759911;25.10008588;23.99600067;13.70775362;3.999333444;9.80047608;21.32977837;2.38E-05;0.524719366;0.100346829;0.104264989;0.16364336;5.887;5.939;2.286;0.458590235;0.304057047;-0.091266593;0.309232922;0.414099101;0.06410721;0.181939146;165.9637565;69.10274349;noise
